카페명,지역,정보등급,블로그총량,스니펫수,카페명포함스니펫,블로거수,최신포스트,지역검색_상호,지역검색_업종,지역검색_주소,스니펫예시
흘(heul),제주시내,low,431,100,100,99,20260626,흘 heul,"카페,디저트>카페",제주특별자치도 제주시 조천읍 선진길 88 가동 HEUL,@ (앞으론 안내가 없어도 전화를 해봐야겠다) 조금 걸어가면 카페 '흘 heul'이 있다. (선흘리라 흘인 듯)... 마음이란 뭘까- 제주의 368개 오름 중 유일하게 유네스코 세
흘 heul,조천,low,431,100,77,99,20260626,흘 heul,"카페,디저트>카페",제주특별자치도 제주시 조천읍 선진길 88 가동 HEUL,@ (앞으론 안내가 없어도 전화를 해봐야겠다) 조금 걸어가면 카페 '흘 heul'이 있다. (선흘리라 흘인 듯)... 마음이란 뭘까- 제주의 368개 오름 중 유일하게 유네스코 세
카키테아노,제주시내,low,429,100,100,81,20260707,카키테아노,"쇼핑,유통>구제의류",제주특별자치도 제주시 구좌읍 행원로 151 안쪽 검은색 건물,돌아다닌거라 난 딱히 흥미가 크지 않았지만 그래도 재미는 있었다 그럼에도 제주곳간은 또 가볼 듯! #오렌지건 #아날로그타운 #제주곳집 #카키테아노 #제주창고 #수박빈티지 #소모소
우도 레츠고 카페,우도,low,421,100,0,96,20260706,,,,있슨 우도 도착 ! 날이 살짝 흐리지만 제주 다닐 땐 요것도 눈안부시고 너무 좋그등요 .. 짐 대충 풀고... 바로 운.달 레츠고 (운전의 달인) 개귀여운 내 차 .. 큰 밴 사이
사시사,성산,low,419,100,100,94,20260707,사시사,"음식점>카페,디저트",제주특별자치도 제주시 박성내서길 40 1층 사시사,"닮은 한 접시였다 총평 리뉴얼 후 더욱 쾌적하고 여유로워진 공간 맛있는 차와 디저트가 있고 사장님의 미감이 만들어낸 서정적인 공간 작업, 독서, 혼자만의 시간을 보내기 좋은 제주 "
혜리스마스,세화,low,419,100,100,98,20260530,혜리스마스,"쇼핑,유통>판촉,기념품",제주특별자치도 제주시 구좌읍 구좌로 51-1 별채,당분간 제주도는 급작스럽게 가기 어려우니 더욱 그립다 옆에 혜리스마스 소품샵이 있길래 가봤다 개인적으로 소품을 안 좋아한다 소품=예쁜 쓰레기 라고 생각하기 때문이다 이렇게 말하면
인무드,한림,low,418,100,100,98,20260601,인무드,"음식점>카페,디저트",제주특별자치도 서귀포시 안덕면 동광본동로 2-16 1층,"인무드 제주 서귀포시 동광본동로 2-16, 11:00-19:00(매일) 제주 도착한 첫날 첫번째 커피. 식후 디저트 혈당 이슈는 뼈에 박히게 듣지만 포기못하는 한가지다. 식후 커피"
오마이코티지,서귀포시내,low,416,100,96,92,20260703,오 마이 코티지,숙박>민박,제주특별자치도 서귀포시 안덕면 덕수회관로74번길 32 오마이코티지,나무문 틈새 공간들이 있어서 유리문을 잘 닫아줘야 춥지 않고 벌레가 안들어 올 것 같아요. 숙소... 만족스러웠던 오마이코티지 후기였습니다. 제주에서 아기자기하고 동화 같은 분위기
하토우커피로스터스,구좌,low,412,100,99,97,20260629,하토우 커피 로스터스,"카페,디저트>카페",제주특별자치도 제주시 구좌읍 구좌로 188-1 1층,2박3일 제주 동쪽여행 마지막날 마지막날이 되서야 숙소주변을 돌아다닐 수 있었다 요렇게 멋진... 궁금했던 하토우 커피로스터스에 왔다 사장님이 원두에 진심인게 느껴지는 곳 무인양품
바사그미,제주시내,low,391,100,100,95,20260703,바사그미,음식점>뷔페,제주특별자치도 제주시 1100로 2894-72 러브랜드 바사그비카페,"제주 바사그미 브런치 카페 실내 그리고 제가 특히 좋았던 건, 정원 산책이었어요. 제주 러브랜드 입구 바사그미 카페는 카페 안에서만 끝나는 공간이 아니라, 밖으로 한 번 더 걸어 "
시골친구,남원,low,383,100,100,89,20260616,시골친구,음식점>한식,제주특별자치도 서귀포시 표선면 가시로 419 시골친구,고슬고슬 나물도 많고 진짜 맛있게 싹 다 먹었다. 이렇게 먹고 나면 건강해지는 느낌이다.  Photo _ 촬영일 2025-03-08(토) #제주서귀포시맛집 #서귀포시골친구 #서귀포
신촌리 베이커리 카페,조천,low,381,100,1,96,20260708,오드랑베이커리 앤 카페 신촌점,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 조천우회로 104,"오늘은 분위기가 아주 좋은 제주 베이커리카페 한 곳에 다녀왔습니다. 여기는 비교적 한적한 제주 신촌리 카페였는데, 쉬어가기 너무 좋은 곳이더라고요. 대화하기도 좋고 오랜 시간 작업"
젠타일스,표선,low,379,100,100,99,20260707,카페 젠타일스,"음식점>카페,디저트",제주특별자치도 서귀포시 표선면 표선당포로 7 카페젠타일스,"카페 젠타일스는 제주를 찾는 모든 분들이 아름다운 자연 속에서 맛있는 음료와 디저트, 브런치를 부담없는 가격에 즐기고, 안락한 공간에서 가족 단위 혹은 개인 단위로 전세대가 마음 "
말차가배,남원,low,368,100,2,99,20260707,,,,어제 말차로 유명한 가배도 말차푸딩 먹고왔는데 대신 요 제주말차푸딩 먹어도 많이 아쉽지 않은 그정도의 맛이에요!! 다른 후기 찾아보니 스벅 푸딩보다 맛있다는 후기도 있더라구요. 파
슬로모,김녕,low,363,100,100,98,20260708,슬로모,"가구,인테리어>인테리어소품",제주특별자치도 제주시 산지로 43 2층,제주 동문시장 1번 출구와 산지천 부근에 위치해 있는 제주 소품샵 슬로모. (슬로모는 전용 주차 공간이 없기 때문에) 제주 슬로모 주차 꿀팁은 근처 북수구 공영주차장 주차 후 방문
브라보커피웍스,세화,low,363,100,99,96,20260707,브라보커피웍스 제주세화점,"카페,디저트>카페",제주특별자치도 제주시 구좌읍 세화11길 8 1층,"아이와 제주여행 7  10월 보롬왓, 다시버시 제주 갈치조림, 브라보 커피웍스 제주 포스팅 끝이 보여갑니다,,, 헥헥 어느새 마지막날 포스팅! 이날은 아침일찍 4박을 잘 했던 천년"
월정스시마씸,월정리,low,361,100,10,100,20260701,스시마씸 월정,음식점>일식>일식당,제주특별자치도 제주시 구좌읍 월정3길 50 스시마씸,제주에서의 2일차 아침이 밝았어요 ☀️ 어제 머문 휘게호텔 창밖으로 편안하게 일출을 볼 수... 이제 바로 야식 포장하러 출발 스시마씸  월정3길 50 스시마씸 ⏰ 매일 17:00
이야이야요,서귀포시내,low,348,100,100,97,20260525,이야이야요,"카페,디저트>아이스크림",제주특별자치도 서귀포시 중정로61번길 20 1층 5호,올레시장 맛집 탐방하다 찾게된 이야이야요라는 제주도 최초 수제 모나카 아이스크림 전문점입니당 이야이야요 0507-1497-1083 @rrrrrrrid  영업시간  매일 | 1:30
렌시아 카페,협재,low,348,100,42,99,20260622,렌시아,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 협재로 227-3 렌시아,그럼 제주 한림읍 동백꽃 스팟 카페 '렌시아' 후기 들어갑니다~ #제주카페 #제주한림카페 #제주동백꽃 #제주동백꽃스팟 #한림읍카페 #제주겨울여행 #제주카페추천 #한라봉라떼 #한라봉
탐앤탐스김녕아쿠아점,김녕,low,339,100,95,94,20260703,탐앤탐스 김녕아쿠아점,"카페,디저트>카페",제주특별자치도 제주시 구좌읍 일주동로 1921 1층,비 내리는 제주가 처음은 아니나 거친 바닷물이 해안도로를 침범하고 물이 바람에 날아드는 경험은... 궁금했던 '탐앤탐스 김녕아쿠아점'에 갔다. 앞에 주차 라인 몇 있고 건물 뒤에도
탐앤탐스 김녕아쿠아점,김녕,low,339,100,95,95,20260703,탐앤탐스 김녕아쿠아점,"카페,디저트>카페",제주특별자치도 제주시 구좌읍 일주동로 1921 1층,비 내리는 제주가 처음은 아니나 거친 바닷물이 해안도로를 침범하고 물이 바람에 날아드는 경험은... 궁금했던 '탐앤탐스 김녕아쿠아점'에 갔다. 앞에 주차 라인 몇 있고 건물 뒤에도
푸아루,성산,low,335,100,100,84,20260705,푸아루,"음식점>카페,디저트",제주특별자치도 제주시 남성로23길 9 1층,여섯 개 추가 구매 완료  인당 구매 개수 제한이 있는데 매일 달라지고 평균 1인 2~3개 정도이다. 제주도 여행 첫날 마지막날 요 코스 추천드립니다!! 푸아루 -&gt; 카페픽업
고내다운,애월,low,324,100,5,96,20260626,고내다운 전기차충전소,"교통,운수서비스>전기차충전소",제주특별자치도 제주시 애월읍 고내북서길 15,현무암 돌담과 바다 그리고 방파제가 한눈에 펼쳐지는 제주다운 해안 풍경입니다. 잔잔한 항구와 정박한 어선들이 어우러진 고내포구의 평온한 일상입니다. 바다 위로 길게 뻗은 방파제를
마담나탈리소셜클럽,애월,low,320,100,100,79,20260624,마담나탈리소셜클럽,술집>바(BAR),제주특별자치도 제주시 한림읍 옹포2길 10,제주 마담나탈리 소셜클럽 구분 상세 내용 상호명 마담나탈리 소셜클럽 (Madam Natalie Social Club) 주소 제주 제주시 한림읍 한림로 102 운영시간 매일 17:0
느랏 청굴물,김녕,low,317,100,65,93,20260705,"느랏,청굴물",숙박>펜션,제주특별자치도 제주시 구좌읍 김녕로1길 75-1 2층,"제주 김녕 숙소 느랏, 청굴물 내돈내산 후기 :) 느랏, 청굴물 제주 제주시 구좌읍 김녕로1길 75-1 2층 제주 김녕 숙소 느랏 청굴물은 자연 명소인 청굴물 바로 앞에 위치하고 "
카페 뮈르,서귀포시내,low,316,100,55,100,20260629,뮈르,"음식점>카페,디저트",제주특별자치도 서귀포시 하예로 28 뮈르,"돌아와서도 계속 생각나는 걸 보니, 아마 내 마음속 1등 제주 카페가 된 것 같다.. 뮈르  제주 서귀포시 하예로 28 뮈르  주차 가능 (카페 앞, 인근 공영주차장 이용 가능) "
플라네 하우스,서귀포시내,low,307,100,100,97,20260704,플라네하우스 제주소품샵,"가구,인테리어>인테리어소품",제주특별자치도 제주시 관덕로11길 28 플라네하우스 제주소품샵,운영-10:30~19:30 휴게-13:00~14:00 제주 플라네하우스 Planer House 명품관에 온 것 같았던 제주 감성 소품샵 플라네하우스는 엔티크+유럽풍적인 감성이 혼합
벨라위미,위미,low,306,100,99,99,20260705,카페 벨라위미 로스터리,"음식점>카페,디저트",제주특별자치도 서귀포시 남원읍 태위로151번길 14-14,"대기 시간에 들른 벨라위미 카페 후기 제주 감귤체험 후기｜곱은달감귤체험농장 아이와 다녀온 솔직 후기 제주 감귤체험 농장, 선택 기준부터 제주도를 지나다니다 보면 곳곳에 감귤 체험 "
카페팀블로우,곽지,low,303,100,66,100,20260630,카페팀블로우,"음식점>카페,디저트","제주특별자치도 제주시 애월읍 애월로 19-3 나동, 1층",벌써 반년이 지나버린 우리의 제주. #카페팀블로우 #애월카페 #애월카페추천 #애월해변카페 또 오빠가... ㅎㅎㅎ 테이블도 나무 그 자체 나는 라떼 오빠는 아아 ㅎ_____ㅎ #제주
스프레무따,김녕,low,302,100,100,98,20260707,스프레무따,"카페,디저트>카페",제주특별자치도 제주시 산록북로 607 스프레무따,제주 한라산 관음사 카페 스프레무따 숲속 브런치 맛집 information 제주 제주시 산록북로 607 스프레무따 010-****-**** 09:00 ~ 19:00 18:30 (
푸파페,곽지,low,296,100,100,80,20260707,,,,"푸파페 제주의 ""놀멍 보멍 먹으멍 지꺼진"" 부제가 확 와닿았답니다. 관심 있으시다면 내년에 함께 가요!! #제주푸파페 #제주국제박람회 #푸드테크 #파밍플러스 #제주체험 #빙떡만들기"
키에키 로스팅룸,성산,low,295,100,99,97,20260705,키에키 로스팅 룸,"음식점>카페,디저트",제주특별자치도 제주시 중앙로 88-1 1층,"총평 제주 키에키 로스팅룸은 제주여행 첫날 방문했는데 분위기부터 커피 맛까지 모두 만족스러웠던 카페였어요. 감성적인 외관 덕분에 사진도 예쁘게 남길 수 있었고, 직접 로스팅한 원두"
레미콘베이커리,조천,low,295,100,4,89,20260706,레미콘,"카페,디저트>베이커리",제주특별자치도 제주시 거로남8길 21-32 101동,Euna's eating review 레미콘 위치 제주 제주시 화북이동 2341-1 시간 10:30 - 20:30(매일) 전화 070-7008-0755 ※ 80대... 베이커리 종
템푸스,월정리,low,294,100,100,96,20260624,템푸스,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 해맞이해안로 478 템푸스 TEMPUS,흑돼지돈가스 #템푸스 #제주맛집 #제주동쪽맛집 #제주흑돼지돈가스맛집 #월정리맛집 오늘은 동쪽여행 본격적으로 하는 첫 날!! 우선 조식부터 먹고 시작해볼까요~ 폴레폴레게스트하우스 조
그래인스쿠키 제주점,애월,low,291,100,98,99,20260708,그래인스쿠키 애월점,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 유수암로4길 11 그래인스 쿠키,아치형 문들이 제주 대형 카페의 공간을 더욱 정감있게 만드는거 같아요. 그래인스쿠키 제주점의 2층은 이렇게 자리가 다양하고 많았어요. 편안한 소파자리 단체가 앉아서 즐기기 좋은 자
돌담위에토끼,김녕,low,291,100,96,94,20260703,돌담위에토끼,농업>채소재배,제주특별자치도 제주시 구좌읍 해맞이해안로 1786,포인트 | Highlights ✔ 제주 돌담 감성 인테리어 ✔ 바다 전망 포토존 ✔ 제주 동부... #제주여행 #제주카페 #돌담위에토끼 #구좌카페 #제주동쪽카페 #제주감성카페 #제
우도바위소리,우도,low,290,100,64,96,20260703,우도바위소리 검멀레타운점,"카페,디저트>아이스크림",제주특별자치도 제주시 우도면 우도해안길 1112 검멀레타운,우도바위소리 땅콩아이스크림 아이랑 제주여행 우도 임영웅으로 잔뜩 꾸며진 우도바위소리 매장에 놀랐지만 근처 보이는 땅콩아이스크림 판매점에 일단 주문해봤다 아이랑 제주여행 우도 앙증맞
근자씨가게,종달,low,286,100,97,95,20260701,,,,제주 제주시 구좌읍 종달로1길 48-6 먼저 출발지와 가까운 근자c가게 부터 내비게이션 찍고 도착했는데... 또 내가 아는 근자씨 생각나네... 나 언니 사랑하나바... 뭔가 많은
김녕음악사,김녕,low,284,100,100,86,20260630,김녕음악사,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 김녕로1길 21 김녕음악사,위치 김녕음악사 위치 제주 제주시 구좌읍 김녕로1길 21 김녕은 밤에 갈만한 감성 공간이 많지 않은... 제가 제주 김녕음악사를 추천하는 가장 큰 이유는 분위기 때문이에요. 문 열
로쿤커피,애월,low,281,100,100,91,20260322,로쿤커피,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 넙은밧길 1-1 단독2층 로쿤커피,"로쿤커피 제주 - 영업 정보 : 매주 화,수 휴무 / 10시 - 17시 (L/O 16:30) - 가게 바로 앞 전용주차장 - 남/녀 화장실 구분 - 제주 핸드드립 맛집 찾으시면 추"
킨조베이커리,제주시내,low,279,100,100,94,20260706,킨조베이커리,"카페,디저트>베이커리",제주특별자치도 제주시 구좌읍 비자림로 1814 1층,"작고 소중한 제주 빵집 킨조베이커리 위치 제주 제주시 구좌읍 비자림로 1814 1층 - GS편의점 뒤쪽 영업시간 7:30 ~ 17:00 - 월, 화 정기휴무일 - 품절 시 조기마감"
브리나케오슈,애월,low,276,100,100,94,20260708,브리나케오슈,"카페,디저트>베이커리",제주특별자치도 제주시 애월읍 고내3길 21-2 1층,소개해봅니다 :) 브리나케오슈 제주도 제주시 애월읍 읍고내3길 21-2 1층 브리나케오슈는 이름도 독특해서 한번만 들어도 쉽게 익혀지더라구요 ㅎㅎ 매장 오픈은 11시 17시 마감.
호자 Hoja,세화,low,266,100,1,99,20260621,호자,음식점>일식>돈가스,제주특별자치도 제주시 구좌읍 세화8길 7 1층,일단 제가 아는 돈까스 집 중에선 오늘 소개해드릴 제주 세화 맛집 호자(HOJA)가 가장 저렴한 것 같습니다. 물론 먹어보니 최고의 돈까스라고 하기엔 살짝 부족한 점이 보이긴 했지
프레스 드라이버,애월,low,265,100,88,85,20260609,프레스드라이버,"음식점>카페,디저트",제주특별자치도 제주시 한경면 녹차분재로 505-2 프레스드라이버,"제주도 서쪽 가볼만한곳, 유명 관광지인 오설록 ۰ 신화월드 인근 비교적 한적한 동네 저지리에 위치해 있는 스트릿 감성 창고형 카페 ' 프레스드라이버 pressdriver '  제주"
943 Studio,함덕,low,253,100,5,97,20260625,943스튜디오,"가구,인테리어>인테리어소품",제주특별자치도 제주시 조천읍 함덕16길 52-1 943studio,943 STUDIO ✔️ 위치: 제주 제주시 조천읍 함덕16길 52-1 ✔️ 영업시간: 매일 12:00 - 19:00 ✔️ 주차장: 없음 함덕해수욕장에서 도보 10분 거리의 943
피넛캬라멜하우스,우도,low,251,100,100,98,20260707,피넛캬라멜하우스,"음식점>카페,디저트",제주특별자치도 제주시 우도면 삼양고수물길 11 1층 2호,북구네-카페투어 = 0 ^_^ 바로 시작해보겠습니다 2026.03.29 방문 피넛캬라멜하우스  위치- 제주 제주시 우도면 삼양고수물길 11 1층 2호 ⏰ 영업시간- 매일 10:00
꼬떼웨스트,중문,low,251,100,100,96,20260707,꼬떼웨스트,"카페,디저트>베이커리",제주특별자치도 제주시 한경면 대한로 800-2 1층,오후에 꼬떼웨스트 방문한 거라 그런가 생각보다 종류는 많이 없었다. 제주 베이커리 카페 카운터 옆 또 다른 공간으로 들어가니 테이블이 4~5개 정도 마련되어 있었고~ 창밖 야외에도
be around cafe,구좌,low,249,100,9,84,20260703,아날로그사운즈,테마카페,제주특별자치도 제주시 구좌읍 하도9길 72 아날로그사운즈,LP 카페 비어라운드 Cafe Be around 빈티지 매장 바로 옆에 있는 카페인데 같은 사장님이 운영 중이시다.... 제주에서 특별한 카페를 찾는다면 추천하고픈 카페!!  비어
콜체스 카페,애월,low,239,100,82,92,20260630,콜체스카페,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 애납로 158 콜체스카페,"콜체스 카페 주소: 제주 제주시 애월읍 애납로 158 콜체스카페 영업시간: 10시~18시 (매주 화,수 휴무) 전화번호: 010-****-**** - 주차장 있음 - 예스 키즈존,"
미디어아트.핑크꽃.플라워 디저트카페,구좌,low,236,100,0,94,20260622,,,,"수퍼플라워는 꽃을 소재로 한 테이크아웃 전용 카페로 미디어아트와 소품샵이 함께 있는... 핑크 정원 매장 안, 통유리창 너머로 펼처진 제주 앞바다 하... 너무 감성적이야 헤헿, "
르917,제주시내,low,235,100,86,77,20260706,,,,"투명하고 예쁜 제주바다  궁금했던 이번 르917 25ss 에센셜 제품, 아무래도 쇼룸가서 입어보는게 좋을거 같아서 또 왔다 흐흐 제일 궁금했던 ANNE KNIT 세트 카멜이냐 그레"
BERYL 베릴,협재,low,233,100,8,100,20260628,베릴,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 협재1길 19-8 1층,카페 내부도 독특하니까 꼭 끝까지 함께해주세요 홍홍♥ ⏰ 운영시간 매일 11:00 ~ 18:30 (l.order 18:00) ️ 주차장 없음 ✅ 노키즈존 ✅ 비양도 오션뷰 루프탑
크루아상 처돌이들,한림,low,226,100,0,95,20260701,,,,제주에서 유명하다는 빵집을 다 들려보고있는데 그중에 소금빵 맛집으로 유명하다는 곳이 있더라구요!! 거기에 박명수 유툽까지 나왔다는데 소금빵 처돌이로써 못참고 방문한 빵귿 입니다 ⏰
터틀락카페,중문,low,226,100,71,100,20260707,터틀락,"음식점>카페,디저트",제주특별자치도 서귀포시 안덕면 한창로110번길 44,"담주면 제주도 끝이라,, 흠.. 고민하다 안삼 ㅋ 집가는길에 어디 카페갈까 급 찾아본 터틀락 카페!! 애견동반 가능 카페! Pet&kids ~~ 디저트는 많이 팔려있었고 옥수수 치"
Cafe064Knot,한림,low,211,100,1,96,20260705,cafe064knot,"음식점>카페,디저트",제주특별자치도 제주시 한림읍 한림로 609,cafe064knot은 화려하게 달기보다 제주 제철 식재료를 활용한 수제 케이크로 유명한 카페이다. 5시 40분에 도착했더니 걍 전품목 솔드아웃.. 다행히 5시 20분쯤 전화해서
메종메르미누,기타,low,208,100,100,98,20260513,메종메르미누,"음식점>카페,디저트",제주특별자치도 서귀포시 대정읍 서삼중로 90 1층,여기 좋네 집가는길 지하철에서 기관사님의 따수운 안내방송으로 여행 마무리 ☕️메종메르미누 ️선채향 성이시돌목장 ️양가형제 ️흑돼지bbq 동박낭 ️미풍해장국 1100고지 팔복만두 #
내음커피바,제주시내,low,195,100,98,94,20260704,내음커피바,"음식점>카페,디저트","제주특별자치도 제주시 산지로 17 나동 1,2층","추천, 제주 내음커피바 영업시간: 화/수/목/금/토/일 08:00 ~ 22:00 월 정기휴무 Last Order 21:30 *2층... 내음커피바도 제주백잔? - 2025 제주 카"
카페플랜트827,제주시내,low,192,100,58,89,20260706,,,,"제주도 카페 추천 제주 카페 빵지순례 플랜트827 이번에 제주 여행하면서 진짜 마음에 쏙 드는 곳을 다녀왔어요! 바로 제주공항 근처 카페 예쁜 디저트 카페 플랜트827인데, 여기는"
마이크로 하비타트,협재,low,191,100,100,86,20260707,마이크로하비타트,"카페,디저트>카페",제주특별자치도 제주시 한림읍 한수풀로 11 1층,마이크로하비타트 주소 : 제주 제주시 한림읍 한수풀로 11 1층 영업 : 매주 금요일 휴무 / 08:00 - 17:00 반려동물 동반 가능 / 가게 앞 주차 가능 딱 제주 감성의
Cafe Tangerine,제주시내,low,185,100,8,96,20260705,어린왕자감귤밭,"음식점>카페,디저트",제주특별자치도 서귀포시 대정읍 추사로36번길 45-1,카페 감귤 모카 [Cafe Tangerine Mocha] 안녕하세요. 모두 즐거운 크리스마스 보내고 계신가요?... 개인적으로 제주 감귤을 좋아하기도 하지만 생각보다 커피와 잘 어
도그모루,조천,low,183,100,98,90,20260527,도그모루,애견카페,제주특별자치도 제주시 조천읍 함선로 142-3 도그모루,[공지] 제주 도그모루는 오늘도 해피 뛰뛰 중! 3/1 법 개정 후에도 실내외 오프리쉬 가능해요!  안녕하세요! 제주 댕댕이들의 사랑을 듬뿍 받고 있는 도그모루 입니다! ✨ 요즘
Egattoc,제주시내,low,179,100,25,89,20260706,에가톳 캐빈,"숙박>캠핑,야영장",제주특별자치도 서귀포시 안덕면 병악로 266 에가톳 캐빈,"(2025년 10월 방문 기준 정보입니다.) 작년 10월, 날이 좋았던 가을에 다녀온 에가톳 캐빈(Egattoc Cabin)... 제주에 왔으면 고등어회를 먹어야지! 근처 맛집에서"
우디한섬,우도,low,177,100,100,98,20260705,우디한섬,"카페,디저트>카페",제주특별자치도 제주시 우도면 우도해안길 800 1층,"우디한섬 ✔️제주 제주시 우도면 우도해안길 800 1층 매일 10:00-16:30 -우도 도항선 미운항 시 휴무 -막배 한시간전 영업종료 0507-1497-9915 ✔️유아의자, "
김녕카페123,김녕,low,177,100,10,88,20260611,,,,익숙함이 가득한 까페 김녕에 위치한 동네카페 동네 사람 된거 같아서 왠지 제주 사는 사람 느낌 가득해서 좋은 김녕카페 123 어짜피 터는 사진첩 게으르고 느려터진 블로거니까 ㅋㅋㅋ
일빈관,한림,low,175,100,100,90,20260703,일빈관,중식>중식당,제주특별자치도 제주시 한림읍 한림상로 186 1층 일빈관,제주 일빈관 주차는 식당 바로 옆 공영주차장 이용 일빈관 영업시간 11:00~19:30 *브레이크타임 15:00-16:00... 찾아간 짬뽕 맛집 한림 일빈관... 후회없는 선택이
원앤온리 뷰가다했다,사계,low,174,100,3,100,20260609,,,,000원 핵비쌈ㅠㅠ 제주 원앤온리는 산방산 뒤에 있다 이렇게 주차장에서부터 장관인데 이건 모 아주 잠깐 스치는 풍경이고 매우 이국적인가? 매우 평화롭다 아 지금 동백이 제대로 일텐
카페우미,위미,low,172,100,54,97,20260516,우미지베이커리,"음식점>카페,디저트",제주특별자치도 제주시 설촌로12길 22 . 1~2층(삼양이동),2025년 12월 친구들과 제주도 여행 다녀온 카페 투어 포스팅 시작합니다 제주시 삼양동에 있는 우미지베... 밖은 못나가고 ㅋㅋ 이번 제주 여행 마지막 카페입니다. 제주 카페 백
휴예그리나,우도,low,169,100,100,96,20260703,휴예그리나,"음식점>카페,디저트",제주특별자치도 제주시 우도면 우도해안길 626,제주 우도에 들어왔으니 당연히 땅콩 아이스크림을 맛보고 가야겠죠  #제주맛집 #제주우도맛집 #제주우도카페 #우도아이스크림 휴예그리나 휴예그리나 영업시간: 월~토 08:30~17:0
카페갤러리 가야지,조천,low,169,100,0,98,20260430,,,,제주 카페 공백 제주에서 가본 카페 중 가장 규모가 컸던 곳이에요. 제주 동쪽 카페이면서 구좌읍에... 양쪽으로 건물이 보일텐데 오른쪽으로 가야지 카페로 갈 수 있답니다. 왼쪽은
나쫌,중문,low,168,100,97,96,20260706,,,,나쫌 하네? 아주 범고래 같고 멋잇구먼 히로링이랑 같이 자유형~ 바다수영 완전 재밋었다!! 지호 없이... 제주와서 처음 가져본 여유랄까... 얘들아 너무 고맙다 집앞 바다도 산책
우도우베이커리,우도,low,167,100,99,94,20260630,우도우베이커리,"카페,디저트>베이커리",제주특별자치도 제주시 우도면 우도해안길 808 1층,"우도우베이커리는 제주도 여행 갔을 때 본점에서 먹기, 왓어브레드 모찌케이크는 보이면 내일 지구 종말 올 것처럼 쟁여두기. 진짜 행복했던 빵지순례였다 안녕!  . . . #잠실롯데백"
카페 달치즈,세화,low,166,100,49,99,20260707,달치즈 구좌세화점,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 해녀박물관길 35 제주시 구좌읍 세화리1476-12 달치즈 카페,"치즈 덕후라면 그냥 지나칠 수 없는 곳! 치즈치즈한 디저트 만족도 100% ☕달치즈 구좌세화점 제주... 세화해변 산책하고 여유로운 브런치 하고 싶으시다면, 달치즈는 꼭 추천하고 "
카페 마티에르,세화,low,166,100,79,100,20260623,"세화카페마티에르, matiere","음식점>카페,디저트",제주특별자치도 제주시 구좌읍 세화8길 3,제주여행 제주카페 세화카페 마티에르카페 감성카페 여행을 다니며 미리 플랜을 짜봐야 예정대로 움직여지지 않음을 알기에 오래전부터 뚜렷한 동기의 목적지가 아니면 항상 그때 그때 정해서
그린루스카,제주시내,low,162,100,94,93,20260707,그린루스카,"카페,디저트>카페",제주특별자치도 제주시 서사로12길 45 1층,"배터지게 먹고 드림타워 포차에서 술도 한잔 했어요 ㅎㅎ 그럼 3일차로...슝=3 제주 일기 1,2일차가 궁금하다면- &lt;&gt; &lt;&gt; 제주여행기록&lt;Day3&gt"
모정엔틱카페,남원,low,159,100,28,8,20260603,,,,내돈내산 솔직 후기였습니다~ 네이버 지도를 첨부할게요 클릭하시면 전북 남원 분위기 좋은 모정엔틱카페 정보를 보실수 있어요 이상 맛있는 음식 그리고 사람들과 나누는걸 좋아하는 키즈아
토오소,제주시내,low,156,100,98,69,20251220,,,,열심히 하는 사람만 스트레스 받는 거 너무 억울해 #토오소 제주 비건 디저트맛집이다! 저번에 내려왔을 때도 갔었는데 이번에도-. 펌킨 타르트 푸근한 단호박필링이랑 쌀타르트지가 킥.
카페오하효,서귀포시내,low,153,100,42,96,20260704,오하효,"음식점>카페,디저트",제주특별자치도 서귀포시 칠십리로 752 2층 오하효,"해적중식당에서 탕수육먹고, 오하효 카페에서 생초콜릿 냠냠 제주 서귀포시 하효동 600 카페 오하효 문의전화 :: 0507-1315-4275 매주 월요일 정기휴무, 그 외 11시~1"
미티뽀 티하우스,제주시내,low,152,100,5,97,20260629,,,,제주도에서 다녀온 곳 중 손에 꼽을 정도로 좋았던 제주 미띠뽀티하우스 티 카페  다녀온지 조금 되어서... 미띠뽀 티 하우스 주소 | 제주시 오복2길 34 2층 운영 | 매일 11
카페살레,우도,low,147,100,81,100,20260602,카페살레,"음식점>카페,디저트","제주특별자치도 제주시 우도면 우도해안길 816 1,2층",인정 #제주카페맛집 #제주카페 #제주카페살레 #우도카페살레 #카페살레제주 #카페살레 #제주 #제주우도카페추천 #제주우도카페 #제주카페맛집 #우도카페추천 #우도카페맛집 #제주우도땅콩
다결,우도,low,145,100,100,97,20260601,카페 끄덕,"음식점>카페,디저트",제주특별자치도 제주시 우도면 우도해안길 778 1층,": ♥ 카페 다결 제주 제주시 우도면 연평리 1189 0507-1387-4783 매일 10:30 - 17:30 단체이용가능, 주차, 남/여 화장실 구분 해안 길을 따라 전기자전거를"
